power,frequency,period,FAP : Baluev,FAP : Bootstrap,FAP : Davies,FAP : Naive
0.011185254045671769,0.00013420279555296865,7451.409606481028,1.0,1.0,175.01457167876043,1.0
0.011340024261019512,0.00040260838665890595,2483.8032021603426,1.0,1.0,173.7263993095779,1.0
0.011617819444201693,0.0006710139777648433,1490.2819212962056,1.0,1.0,171.3974084903705,1.0
0.011866815274477178,0.0009394195688707805,1064.487086640147,1.0,1.0,169.2942904389938,1.0
0.011526852942199059,0.001207825159976718,827.9344007201142,1.0,1.0,172.16225429497263,1.0
0.009416122888684812,0.0014762307510826553,677.400873316457,1.0,1.0,188.9788021278866,1.0
0.006021500912777682,0.0017446363421885925,573.1853543446945,1.0,1.0,206.43129681678317,1.0
0.004025038214164748,0.0020130419332945295,496.7606404320686,1.0,1.0,202.7121800755388,1.0
0.002636216726500584,0.002281447524400467,438.3182121459429,1.0,1.0,186.3830225279853,1.0
0.0011233732607669044,0.0025498531155064043,392.1794529726857,1.0,1.0,139.97603757043876,1.0
0.00045674011151675836,0.0028182587066123417,354.82902888004895,1.0,1.0,95.18803726274058,1.0
0.0013732887087097912,0.0030866642977182787,323.9743307165665,1.0,1.0,151.18735659421583,1.0
0.003472893367614837,0.003355069888824216,298.05638425924116,1.0,1.0,198.0877969877347,1.0
0.005359419553291964,0.0036234754799301535,275.9781335733714,1.0,1.0,206.9525562074461,1.0
0.005728941612219655,0.0038918810710360905,256.9451588441734,1.0,1.0,206.83383151652313,1.0
0.0042861929543233064,0.004160286662142029,240.3680518219686,1.0,1.0,204.23048094986132,1.0
0.0019360139024701287,0.004428692253247966,225.80029110548568,1.0,1.0,170.3774511672913,1.0
0.00033808615438697535,0.004697097844353903,212.89741732802938,1.0,1.0,82.92062755555997,1.0
0.00023924460874931357,0.0049655034354598405,201.38944882381156,1.0,1.0,70.53994510991772,1.0
0.0011549426000619233,0.0052339090265657775,191.06178478156482,1.0,1.0,141.50905024792198,1.0
0.002155177691162084,0.005502314617671715,181.74169771904945,1.0,1.0,176.16046451919112,1.0
0.0025554366638071897,0.005770720208777652,173.2885954995588,1.0,1.0,184.87489149313333,1.0
0.0022963783047490506,0.006039125799883589,165.58688014402284,1.0,1.0,179.48678028863537,1.0
0.002465272103968982,0.006307531390989527,158.54062992512826,1.0,1.0,183.09813289491163,1.0
0.004423205998523,0.006575936982095464,152.06958380573525,1.0,1.0,204.87654034317362,1.0
0.007824441746835421,0.006844342573201401,146.10607071531427,1.0,1.0,199.41133996067794,1.0
0.011265620759088326,0.007112748164307339,140.59263408454768,1.0,1.0,174.34657802457448,1.0
0.013721688937324983,0.007381153755413276,135.48017466329142,1.0,1.0,153.41287780830896,1.0
0.013584303860878008,0.007649559346519213,130.72648432422858,1.0,1.0,154.59147416583372,1.0
0.010004929170323123,0.00791796493762515,126.29507807594962,1.0,1.0,184.52558936814026,1.0
0.005608302299330479,0.008186370528731089,122.15425584395126,1.0,1.0,206.92281789853016,1.0
0.0031993594736278255,0.008454776119837025,118.27634296001632,1.0,1.0,194.96514452781,1.0
0.003692896180482374,0.008723181710942962,114.63707086893889,1.0,1.0,200.18023333548447,1.0
0.0074186369797349635,0.0089915873020489,111.21506875344816,1.0,1.0,201.54637706173014,1.0
0.012392993753497348,0.009259992893154836,107.99144357218881,1.0,1.0,164.81408095510022,1.0
0.01573168304809575,0.009528398484260774,104.94943107719757,1.0,1.0,136.41688008903415,1.0
0.016754679002612828,0.009796804075366712,102.07410419837024,1.0,1.0,128.06424490155882,1.0
0.015049972862386565,0.010065209666472648,99.35212808641371,1.0,1.0,142.11117185002482,1.0
0.010451476907671132,0.010333615257578586,96.77155333092244,1.0,1.0,181.00378951775707,1.0
0.005276793720667255,0.010602020848684524,94.32164058836744,1.0,1.0,206.9140282418185,1.0
0.0021640614919796507,0.010870426439790462,91.99271119112379,1.0,1.0,176.37851514156665,1.0
0.0012573928970917366,0.011138832030896398,89.77601935519311,1.0,1.0,146.24151771941212,1.0
0.0010535069341470853,0.011407237622002336,87.66364242918856,1.0,1.0,136.44761900315603,1.0
0.00045843200037023747,0.011675643213108274,85.64838628139113,1.0,1.0,95.34771216552858,1.0
0.00010165928595588644,0.01194404880421421,83.72370344360706,1.0,1.0,46.906357690736485,1.0
0.0017050843723800176,0.012212454395320147,81.88362204924206,1.0,1.0,163.348142801888,1.0
0.005925049415197731,0.012480859986426085,80.12268394065622,1.0,1.0,206.59212837623048,1.0
0.011186008082190323,0.012749265577532021,78.43589059453714,1.0,1.0,175.00831370135577,1.0
0.014479461829917696,0.01301767116863796,76.81865573691782,1.0,1.0,146.93884656512998,1.0
0.013683555644421266,0.013286076759743897,75.26676370182857,1.0,1.0,153.73991537784033,1.0
0.009694660835267653,0.013554482350849833,73.77633273743592,1.0,1.0,186.90244093269646,1.0
0.005186516044581797,0.013822887941955771,72.34378258719445,1.0,1.0,206.84289960270692,1.0
0.001887031596944736,0.014091293533061709,70.96580577600979,1.0,1.0,168.97193460215266,1.0
0.00021965403153368013,0.014359699124167645,69.63934211664512,1.0,1.0,67.75180870879232,1.0
0.00019875885437291275,0.014628104715273583,68.36155602276173,1.0,1.0,64.6193295214182,1.0
0.001896733199697333,0.01489651030637952,67.12981627460385,1.0,1.0,169.25379843079156,1.0
0.005148692185765055,0.015164915897485457,65.94167793346043,1.0,1.0,206.8038505853683,1.0
0.008971300637582842,0.015433321488591395,64.79486614331329,1.0,1.0,192.16376369019497,1.0
0.011877138634617543,0.01570172707969733,63.68726159385495,1.0,1.0,169.20682078240492,1.0
